OS;Producer;RAM;CPU cores;Diagonal;Width;Height
Android 11;Oukitel;4;8;6,52;67,96;151,02
Android 12;Oukitel;8;8;6,78;70,67;157,04
Android 12;Realme;4;8;6,6;68,51;153,0
Android 12;TCL;3;4;6,08;64,72;140,22
Android 11;Infinix;4;8;6,82;69,64;158,62
Android 12;OnePlus;6;8;6,7;69,55;155,32
Android 12;Motorola;6;8;6,6;68,79;152,87
Android 12;Sony;6;8;6,0;60,03;140,08
Android 12;Sony;12;8;6,5;64,98;151,78
Android 11;Honor;4;8;6,5;67,75;150,56
Android 11;AGM;8;8;6,53;69,51;150,6
Android 12;Vivo;8;8;6,62;69,0;153,34
Android 12;Vivo;8;8;6,62;69,0;153,34
Android 11;UMIDIGI;6;8;6,7;68,06;155,98
Android 12;Realme;4;8;6,56;67,95;152,14
Android 12;Realme;8;8;6,58;68,4;152,5
Android 12;ZTE;8;8;6,8;70,88;157,51
Android 12;ZTE;8;8;6,67;69,52;154,5
Android 12;Sharp;4;8;5,6;60,89;128,55
Android 12;Sharp;12;8;6,6;70,25;152,21
Android 12;Vivo;3;8;6,51;67,86;150,79
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;OnePlus;6;8;6,43;67,02;148,94
Android 12;OnePlus;8;8;6,7;69,55;155,32
Android 12;OnePlus;6;8;6,59;68,4;152,77
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;HiSense;6;8;6,78;69,23;157,68
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 12;Infinix;4;8;6,82;70,65;158,17
Android 11;Infinix;4;8;6,7;69,64;155,28
Android 11;BLU;8;8;6,8;69,43;158,15
Android 12;Motorola;8;8;6,5;67,75;150,56
Android 12;Motorola;6;8;6,5;67,75;150,56
Android 11;Motorola;8;8;6,8;69,43;158,15
Android 11;Blackview;8;8;6,58;68,4;152,5
Android 11;Blackview;8;8;6,58;68,4;152,5
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Motorola;4;8;6,5;67,75;150,56
Android 12;POCO;4;8;6,58;68,4;152,5
HarmonyOS 2,0;Huawei;8;8;6,5;70,74;149,18
Android 12;Doogee;8;8;6,3;67,06;145,29
Android 12;Vivo;8;8;6,44;66,94;149,25
Android 12;Vivo;6;8;6,44;66,94;149,25
Android 11;Infinix;2;8;6,6;68,79;152,87
Android 12;Infinix;6;8;6,82;70,65;158,17
Android 11;Vivo;8;8;6,44;67,03;149,21
Android 12;Vivo;4;8;6,58;68,4;152,5
Android 11;Infinix;4;8;6,7;69,84;155,19
Android 12;Oukitel;4;4;5,93;67,36;134,72
Android 12;POCO;8;8;6,67;69,52;154,5
Android 12;Realme;6;8;6,62;69,0;153,34
Android 12;Realme;6;8;6,6;68,51;153,0
Android 11;Xiaomi;8;8;6,71;69,94;155,42
Android 11;Xiaomi;8;8;6,55;68,27;151,72
Android 11;Xiaomi;3;8;6,53;68,06;151,25
Android 11;Samsung;6;8;6,7;69,84;155,19
Android 11;Sharp;4;8;6,1;62,88;141,61
Android 11;Oppo;6;8;6,5;67,75;150,56
Android 11;Honor;8;8;6,74;70,25;156,12
Android 11;Honor;8;8;6,7;70,13;155,06
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 12;Motorola;4;8;6,6;68,79;152,87
Android 12;Oppo;8;8;6,56;67,95;152,14
Android 12;Vivo;8;8;7,0;75,3;161,07
Android 12;Vivo;4;8;6,5;67,75;150,56
Android 12;Realme;6;8;6,4;66,71;148,24
Android 11;Honor;6;8;6,81;71,28;157,61
Android 11;Realme;3;8;6,52;67,96;151,02
Android 12;Xiaomi;8;8;6,67;69,52;154,5
Android 12;Xiaomi;8;8;6,67;69,52;154,5
Android 12;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Honor;6;8;6,81;71,28;157,61
Android 11;Infinix;2;4;6,6;68,37;153,07
Android 12;Samsung;6;8;6,4;66,71;148,24
Android 12;Samsung;8;8;6,7;69,84;155,19
Android 11;Xiaomi;4;8;6,58;68,4;152,5
Android 11;Xiaomi;4;8;6,6;68,79;152,87
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Honor;4;8;6,74;70,25;156,12
Android 11;Honor;6;8;6,81;71,28;157,61
Android 12;Vivo;4;8;6,51;67,86;150,79
Android 11;Oppo;6;8;6,59;68,4;152,77
Android 11;Energizer;1;4;5,0;62,23;110,71
Android 11;Realme;4;8;6,6;163,62;36,48
Android 12;Vivo;4;8;6,58;68,4;152,5
Android 11;Lava;3;4;6,5;67,75;150,56
Android 12;Kyocera;4;8;6,1;63,58;141,29
HarmonyOS 2,0;Huawei;8;8;6,5;68,17;150,37
Android 12;Realme;6;8;6,7;69,55;155,32
Android 11;UMIDIGI;4;4;6,7;68,06;155,98
Android 11;UMIDIGI;4;8;6,7;68,06;155,98
Android 11;Oppo;6;8;6,56;67,95;152,14
Android 11;Oppo;8;8;6,59;68,4;152,77
Android 11;Oppo;3;8;6,52;67,96;151,02
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 12;Honor;12;8;6,81;72,37;157,1
Android 12;Samsung;6;8;6,46;67,33;149,63
Android 11;Ulefone;3;4;6,52;67,96;151,02
Android 11;Ulefone;4;8;5,45;61,91;123,82
Android 11;Blackview;4;8;5,7;64,75;129,5
Android 11;itel;2;4;6,6;68,37;153,07
Android 11;Honor;6;8;6,7;70,13;155,06
Android 11;Vivo;2;8;6,51;67,86;150,79
Android 11;Huawei;8;8;6,78;70,96;156,91
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Realme;6;8;6,6;68,79;152,87
Android 11;Realme;4;8;6,5;67,47;150,68
Android 11;Lava;2;8;6,5;67,75;150,56
Android 12;AGM;4;8;6,52;67,96;151,02
Android 11;Blackview;4;4;6,53;68,06;151,25
Android 11;Blackview;3;4;6,09;64,8;140,4
Android 12;Motorola;4;8;6,5;67,75;150,56
Android 12;Realme;12;8;6,6;68,51;153,0
Android 12;Motorola;8;8;6,7;69,84;155,19
Android 11;Blackview;4;8;6,53;68,04;151,21
Android 12;Motorola;8;8;6,7;69,84;155,19
Android 12;Samsung;4;8;6,6;68,79;152,87
Android 12;Ulefone;6;8;6,52;67,96;151,02
Android 11;UMIDIGI;4;8;6,8;69,08;158,3
Android 12;Samsung;6;8;6,6;68,6;152,96
Android 12;Samsung;4;8;6,6;68,6;152,96
Android 12;Samsung;3;8;6,6;68,6;152,96
Android 12;Samsung;4;8;6,6;68,6;152,96
Android 12;Doogee;8;8;6,3;67,06;145,29
Android 11;Oukitel;4;4;5,93;67,36;134,72
Android 11;Xiaomi;4;8;6,58;68,4;152,5
Android 12;Vivo;4;8;6,51;67,86;150,79
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;HiSense;8;8;6,6;68,79;152,87
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 12;Honor;8;8;6,81;72,37;157,1
Android 12;Honor;8;8;6,81;72,22;157,18
Android 11;POCO;6;8;6,67;69,52;154,5
Android 11;POCO;6;8;6,43;67,02;148,94
Android 12;Lenovo;12;8;6,92;70,66;160,94
HarmonyOS 2,0;Huawei;8;8;6,5;68,32;150,3
HarmonyOS 2,0;Huawei;8;8;6,76;74,91;154,5
Android 11;Cubot;6;8;6,21;67,52;142,55
Android 11;Asus;8;8;5,92;60,69;137,57
Android 11;Nokia;1;4;5,7;64,75;129,5
Android 11;Nokia;4;4;6,52;67,93;150,95
Android 11;Nokia;2;4;6,52;67,93;150,95
Android 11;Nokia;1;4;6,52;67,93;150,95
Android 12;TCL;3;8;6,52;67,96;151,02
Android 12;TCL;4;8;6,7;69,84;155,19
Android 12;TCL;4;8;6,7;69,84;155,19
Android 12;TCL;4;8;6,7;69,84;155,19
Android 12;nubia;12;8;6,67;69,52;154,5
Android 12;nubia;8;8;6,67;69,52;154,5
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 12;Oppo;12;8;6,7;69,55;155,32
Android 12;Oppo;8;8;6,7;69,55;155,32
Android 12;Oppo;8;8;6,55;68,27;151,72
Android 11;Alcatel;4;4;6,52;67,96;151,02
Android 11;Nokia;3;8;6,5;67,75;150,56
Android 11;Nokia;4;8;6,5;67,75;150,56
Android 11;Xiaomi;4;8;6,5;67,75;150,56
Android 11;BLU;8;8;6,8;69,43;158,15
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 11;Realme;4;8;6,6;68,51;153,0
Android 12;Realme;6;8;6,4;66,71;148,24
Android 12;Realme;6;8;6,4;66,43;148,37
Android 11;OnePlus;8;8;6,43;67,02;148,94
Android 12;nubia;8;8;6,8;70,88;157,51
Android 12;nubia;12;8;6,8;70,88;157,51
Android 12;Xiaomi;8;8;6,67;69,52;154,5
Android 11;TCL;4;8;6,52;67,96;151,02
Android 12;TCL;3;8;6,52;67,96;151,02
Android 11;Doogee;8;8;6,43;67,02;148,94
Android 11;Lenovo;4;8;6,5;67,75;150,56
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 12;Samsung;8;8;6,6;70,25;152,21
Android 12;Samsung;8;8;6,1;64,93;140,68
Android 12;Samsung;8;8;6,8;73,15;156,46
Android 11;Infinix;8;8;6,78;69,23;157,68
Android 11;Honor;8;8;6,67;69,52;154,5
Android 11;BLU;4;8;6,8;69,43;158,15
Android 11;BLU;2;8;6,4;68,12;147,6
Android 11;Tecno;2;4;5,7;61,98;130,84
HarmonyOS;Gionee;4;4;6,26;65,24;144,99
Android 10,0;BQ Mobile;2;8;6,26;68,07;143,7
Android 11;Motorola;6;8;6,8;69,43;158,15
Android 10,0;Huawei;8;8;6,63;69,11;153,57
Android 11;TCL;4;4;6,52;67,96;151,02
Android 11;Tecno;2;8;6,6;68,37;153,07
Android 11;TCL;4;8;6,67;69,52;154,5
Android 11;BQ Mobile;2;4;6,09;64,82;140,45
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 10,0;Tecno;2;4;6,5;69,19;149,9
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,43;67,02;148,94
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;4;8;6,43;67,02;148,94
Android 12;Samsung;8;8;6,8;73,15;156,46
Android 12;Samsung;8;8;6,6;70,25;152,21
Android 12;Samsung;8;8;6,1;64,93;140,68
Android 11;Vivo;4;8;6,51;67,86;150,79
Android 11;Vivo;4;8;6,58;68,4;152,5
Android 11;Blackview;8;4;6,53;68,04;151,21
Android 11;Ulefone;8;8;6,81;70,98;157,74
Android 11;Vivo;4;8;6,51;67,86;150,79
Android 11;Vivo;4;8;6,51;67,86;150,79
Android 11;Oppo;6;8;6,43;67,02;148,94
Android 11;Vivo;4;8;6,58;68,4;152,5
Android 11;Vivo;3;8;6,51;67,86;150,79
HarmonyOS 2,0;Huawei;8;8;6,9;68,66;161,25
Android 11;Tecno;6;8;6,8;69,43;158,15
Android 11;Tecno;8;8;6,9;70,45;160,48
Android 11;Blackview;4;4;6,52;67,93;150,95
Android 11;Realme;4;8;6,6;68,79;152,87
Android 11;Blackview;4;8;5,7;64,75;129,5
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 12;Vivo;8;8;6,56;68,95;151,69
Android 11;Oukitel;8;8;6,39;68,02;147,37
Android 10,0;Meizu;4;4;6,52;67,96;151,02
Android 12;Vivo;8;8;6,78;70,67;157,04
Android 12;Vivo;8;8;6,78;70,67;157,04
Android 12;Vivo;4;8;6,58;68,59;152,41
Android 12;Realme;8;8;6,7;69,55;155,32
Android 12;Realme;8;8;6,62;69,0;153,34
Android 12;Honor;12;8;7,9;151,14;131,98
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;8;8;6,56;67,95;152,14
Android 12;Xiaomi;8;8;6,28;65,46;145,46
Android 12;Xiaomi;8;8;6,28;65,46;145,46
Android 12;Xiaomi;8;8;6,73;70,15;155,89
Android 11;Blackview;8;8;6,58;68,4;152,5
Android 11;Vivo;8;8;6,56;68,95;151,69
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;8;8;6,51;67,86;150,79
Android 11;Vivo;8;8;6,67;69,52;154,5
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 11;Vivo;8;8;6,56;68,95;151,69
Android 11;Honor;4;8;6,74;68,82;156,75
Android 11;Honor;6;8;6,81;71,28;157,61
Android 11;Tecno;4;8;6,6;68,6;152,96
Android 10,0;HTC;4;8;6,82;69,64;158,62
Android 11;Oppo;8;8;7,1;131,84;123,05
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;Vivo;4;8;6,58;68,4;152,5
Android 11;TCL;4;8;6,52;67,96;151,02
Android 11;Blackview;3;4;6,53;68,04;151,21
Android 12;Samsung;6;8;6,4;66,71;148,24
Android 12;Samsung;6;8;6,4;66,71;148,24
Android 12;Motorola;8;8;6,7;69,84;155,19
Android 11;Motorola;6;8;6,8;69,43;158,15
Android 11;Tecno;4;8;6,8;69,43;158,15
Android 11;Sharp;4;8;5,6;60,89;128,55
Android 11;Blackview;3;4;5,7;64,75;129,5
Android 10,0;Oppo;4;8;6,5;67,75;150,56
Android 11;Cubot;1;4;4,0;49,78;88,57
Android 11;Tecno;4;8;6,8;69,43;158,15
Android 11;Honor;8;8;6,78;70,99;156,9
Android 11;Honor;8;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,6;68,79;152,87
Android 11;Doogee;3;4;5,0;56,8;113,59
Android 11;Vivo;8;8;6,53;69,51;150,6
Android 11;Infinix;2;8;6,52;69,4;150,37
Android 11;Motorola;4;8;6,5;67,75;150,56
HarmonyOS 2,0;Huawei;8;8;6,5;67,75;150,56
Android 11;Samsung;3;8;6,5;67,75;150,56
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;Xiaomi;4;8;6,5;67,75;150,56
Android 11;Oukitel;6;8;6,52;67,96;151,02
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Ulefone;4;8;6,5;67,75;150,56
Android 12;Google;6;8;6,1;64,93;140,68
Android 11;Oppo;8;8;6,55;68,27;151,72
Android 11;Oppo;8;8;6,55;68,27;151,72
Android 11;Vivo;8;8;6,44;67,03;149,21
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 12;OnePlus;8;8;6,7;69,55;155,32
Android 11;Oppo;6;8;6,49;67,65;150,33
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 11;Motorola;8;8;6,8;69,43;158,15
Android 11;Motorola;6;8;6,4;66,71;148,24
Android 11;Motorola;4;8;6,8;70,88;157,51
Android 11;Motorola;4;8;6,4;66,71;148,24
Android 11;Motorola;4;8;6,4;66,71;148,24
Android 11;Oppo;4;8;6,5;67,75;150,56
Android 11;Vivo;6;8;6,51;67,86;150,79
Android 11;AGM;8;8;6,53;69,51;150,6
Android 11;AGM;8;8;6,53;69,51;150,6
Android 11;AGM;8;8;6,53;69,51;150,6
Android 11;Infinix;4;8;6,95;70,96;161,64
Android 11;Infinix;4;8;6,7;69,84;155,19
Android 11;Tecno;4;8;6,6;68,79;152,87
HarmonyOS 2,0;Huawei;8;8;6,3;65,67;145,93
Android 11;BQ Mobile;2;4;5,45;61,91;123,82
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 11;Vivo;4;8;6,51;67,86;150,79
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Infinix;4;8;6,82;69,64;158,62
Android 11;Infinix;6;8;6,95;70,96;161,64
Android 11;ZTE;4;8;6,76;70,46;156,58
Android 11;Oppo;3;8;6,52;67,96;151,02
Android 11;Leica;12;8;6,6;70,25;152,21
Android 11;Nokia;4;8;6,67;69,52;154,5
Android 11;ZTE;1;8;6,0;68,16;136,31
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;UMIDIGI;4;4;6,53;68,06;151,25
Android 11;Nokia;4;8;6,5;67,75;150,56
Android 11;Vivo;3;8;6,51;67,86;150,79
Android 11;Motorola;2;8;6,5;67,75;150,56
Android 11;POCO;4;8;6,6;68,79;152,87
Android 11;HiSense;8;8;6,78;69,23;157,68
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;4;8;6,6;68,79;152,87
Android 11;Honor;8;8;7,09;77,09;162,75
Android 11;Honor;6;8;6,7;70,13;155,06
Android 11;Honor;6;8;6,57;69,93;151,52
Android 11;Oppo;4;8;6,52;67,96;151,02
Android 11;Sony;12;8;6,5;64,98;151,78
Android 11;Tecno;4;8;6,6;68,6;152,96
Android 11;Ulefone;2;8;6,1;64,93;140,68
Android 11;Oppo;6;8;6,5;67,75;150,56
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;2;8;6,51;67,86;150,79
Android 12;Gigaset;4;8;6,3;67,06;145,29
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;8;8;6,67;69,52;154,5
Android 11;Vivo;6;8;6,58;68,4;152,5
Android 11;Realme;8;8;6,6;68,51;153,0
Android 11;Realme;6;8;6,6;68,51;153,0
Android 11;Realme;8;8;6,43;67,02;148,94
Android 10,0;Huawei;4;8;6,3;65,67;145,93
Android 11;Vivo;6;8;6,58;68,4;152,5
Android 11;Oppo;6;8;6,59;68,4;152,77
Android 12;Google;12;8;6,71;71,42;154,75
Android 12;Google;8;8;6,4;68,12;147,6
Android 11;Samsung;16;8;7,6;150,69;120,66
Android 11;Ulefone;4;8;6,52;67,96;151,02
Android 11;Infinix;8;8;6,95;70,96;161,64
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;OnePlus;8;8;6,62;69,0;153,34
Android 11;Ulefone;4;8;5,5;62,48;124,95
Android 11;Vivo;6;8;6,51;67,86;150,79
Android 9,0 Pie;Samsung;6;8;6,2;68,89;141,61
Android 11;Samsung;6;8;6,5;67,75;150,56
Android 11;FCNT;4;8;5,7;61,98;130,84
Android 11;Gionee;3;4;6,8;70,88;157,51
Android 11;Infinix;8;8;6,67;69,52;154,5
Android 11;Infinix;8;8;6,78;69,23;157,68
Android 11;Infinix;8;8;6,67;69,52;154,5
Android 11;Infinix;2;8;6,52;67,96;151,02
Android 11;Ulefone;2;8;5,7;64,75;129,5
Android 11;Doogee;2;8;6,52;67,96;151,02
Android 11;Blackview;1;4;6,09;64,8;140,4
Android 11;Blackview;2;8;5,7;64,75;129,5
Android 11;Xiaomi;8;8;6,55;68,27;151,72
Android 10,0;Xiaomi;4;8;6,53;68,06;151,25
Android 11;Samsung;6;8;6,6;68,6;152,96
Android 11;Oppo;4;8;6,51;67,86;150,79
Android 10,0;Alcatel;4;8;6,22;67,63;142,78
Android 11;Tecno;8;8;6,8;69,43;158,15
Android 11;Tecno;4;8;6,8;69,43;158,15
Android 11;Tecno;8;8;6,7;69,84;155,19
Android 11;Samsung;6;8;6,6;68,79;152,87
Android 11;Samsung;3;8;6,8;72,38;156,82
Android 10,0;Huawei;4;8;6,6;68,79;152,87
Android 11;Oukitel;4;4;6,52;67,96;151,02
Android 11;Oukitel;4;8;6,95;70,96;161,64
Android 11;UMIDIGI;4;8;6,3;67,06;145,29
Android 11;Motorola;2;8;6,5;67,75;150,56
Android 11;UMIDIGI;4;8;6,53;68,06;151,25
Android 11;UMIDIGI;4;8;6,53;68,06;151,25
Android 11;itel;2;8;6,52;67,96;151,02
Android 11;Oukitel;8;8;6,78;70,67;157,04
Android 11;Fairphone;6;8;6,3;67,06;145,29
Android 10,0;POCO;3;8;6,53;68,06;151,25
Android 11;Xiaomi;4;8;6,67;69,52;154,5
Android 11;ZTE;12;8;6,67;69,52;154,5
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;ZTE;8;8;6,92;70,66;160,94
Android 11;Samsung;6;8;6,7;69,84;155,19
Android 11;Sharp;4;8;6,1;62,88;141,61
Android 11;Sharp;8;8;6,4;68,12;147,6
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;6;8;6,43;67,02;148,94
Android 10,0;Xiaomi;2;8;6,58;68,59;152,41
Android 10,0;Xiaomi;4;8;6,58;68,59;152,41
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Realme;2;8;6,5;67,75;150,56
Android 11;Realme;4;8;6,5;67,75;150,56
HarmonyOS 2,0;Huawei;8;8;6,72;71,57;154,96
HarmonyOS 2,0;Huawei;8;8;6,57;69,93;151,52
Android 11;Vivo;8;8;6,67;69,52;154,5
Android 11;Meizu;8;8;6,67;69,52;154,5
Android 11;Meizu;8;8;6,7;69,84;155,19
Android 11;Meizu;8;8;6,2;64,62;143,61
Android 11;Realme;6;8;6,62;69,0;153,34
Android 11;Nokia;4;8;6,82;72,59;157,28
Android 11;Cubot;3;8;5,99;68,04;136,08
Android 11;Infinix;4;8;6,78;68,76;157,89
Android 11;Infinix;4;8;6,6;68,6;152,96
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 11;Blackview;4;8;5,7;64,75;129,5
Android 11;Blackview;4;8;5,7;64,75;129,5
Android 11;Samsung;4;8;6,4;66,71;148,24
